mng_name,trt,climate,t1_ensmean,t1_enssd,t3_ensmean,t3_enssd,n,t1_ensse,t3_ensse
CL,Natural Forest,Current,8.263935344827587,0,1.8460855603448276,0.015438364233644896,5,0,0.0069042463775662866
CL,Natural Forest,RCP2.6 MIROC5,8.263935344827587,0,1.8518879310344827,0.01003141214595336,5,0,0.0044861838937337506
CL,Natural Forest,RCP8.5 CSIRO,8.263935344827587,0,6.779045474137932,0.05703791100970471,5,0,0.02550812926245668
CL,Natural Forest,RCP8.5 GFDL,8.263935344827587,0,16.789219612068965,0.03309090056339706,5,0,0.01479870061928838
CL,Natural Forest,RCP8.5 HadGEM2,8.263935344827587,0,15.272624353448276,0.02111298908484419,5,0,0.009442015760384536
CL,Plantation Forest,Current,11.96212922705314,0,6.838528260869565,0.03274652889767229,5,0,0.014644692928471297
CL,Plantation Forest,RCP2.6 MIROC5,11.96212922705314,0,5.281398309178744,0.023422797562464136,5,0,0.010474993514577237
CL,Plantation Forest,RCP8.5 CSIRO,11.96212922705314,0,16.91996956521739,0.013941924218977343,5,0,0.0062350180581568
CL,Plantation Forest,RCP8.5 GFDL,11.96212922705314,0,19.770023913043477,0.04922510949285419,5,0,0.022014138205178432
CL,Plantation Forest,RCP8.5 HadGEM2,11.96212922705314,0,20.266716908212562,0.03397976488101787,5,0,0.015196212826683202
SL1,Natural Forest,Current,8.263935344827587,0,2.5035385775862067,0.009510694560491612,5,0,0.004253311910099346
SL1,Natural Forest,RCP2.6 MIROC5,8.263935344827587,0,2.4052239224137932,0.015044657211064528,5,0,0.006728175244424537
SL1,Natural Forest,RCP8.5 CSIRO,8.263935344827587,0,7.440782327586207,0.04882533287201213,5,0,0.02183535266517483
SL1,Natural Forest,RCP8.5 GFDL,8.263935344827587,0,17.092197629310345,0.026249166279634407,5,0,0.011738984030791556
SL1,Natural Forest,RCP8.5 HadGEM2,8.263935344827587,0,14.715209051724138,0.05805330435583027,5,0,0.025962226971624223
SL1,Plantation Forest,Current,11.96212922705314,0,14.85469347826087,0.02254981965357562,5,0,0.010084585925151168
SL1,Plantation Forest,RCP2.6 MIROC5,11.96212922705314,0,10.994986473429952,0.029541828650984314,5,0,0.013211507408650366
SL1,Plantation Forest,RCP8.5 CSIRO,11.96212922705314,0,11.170248792270531,0.055463027283994555,5,0,0.024803819848987472
SL1,Plantation Forest,RCP8.5 GFDL,11.96212922705314,0,11.050735507246378,0.035296474096714624,5,0,0.015785063089262877
SL1,Plantation Forest,RCP8.5 HadGEM2,11.96212922705314,0,12.37479734299517,0.02637660928768093,5,0,0.011795978276641373
SL2,Natural Forest,Current,8.263935344827587,0,2.4853918103448276,0.011551483427593857,5,0,0.005165980437012427
SL2,Natural Forest,RCP2.6 MIROC5,8.263935344827587,0,2.3894594827586206,0.009850722987033485,5,0,0.00440537724530533
SL2,Natural Forest,RCP8.5 CSIRO,8.263935344827587,0,7.436525862068966,0.028472567305004564,5,0,0.012733319197585639
SL2,Natural Forest,RCP8.5 GFDL,8.263935344827587,0,17.143208620689656,0.05146103549471312,5,0,0.02301407471174161
SL2,Natural Forest,RCP8.5 HadGEM2,8.263935344827587,0,14.689619396551723,0.08128890627234833,5,0,0.03635350404831598
SL2,Plantation Forest,Current,11.96212922705314,0,12.83108309178744,0.062263889327545764,5,0,0.0278452578159832
SL2,Plantation Forest,RCP2.6 MIROC5,11.96212922705314,0,13.84166956521739,0.04519949034572097,5,0,0.02021382659227551
SL2,Plantation Forest,RCP8.5 CSIRO,11.96212922705314,0,13.14987801932367,0.13102519851008324,5,0,0.05859625012679005
SL2,Plantation Forest,RCP8.5 GFDL,11.96212922705314,0,19.068720289855072,0.0424248946290588,5,0,0.018972989665768242
SL2,Plantation Forest,RCP8.5 HadGEM2,11.96212922705314,0,15.70689806763285,0.05667419823713925,5,0,0.02534547196570842
